Subspecies,Color
Staphylococcus_haemolyticus,#8c8c8c
Stomatobaculum_sp002892395.1,#8c8c8c
Stomatobaculum_sp002892395.2,#8c8c8c
Streptococcus,#8c8c8c
Streptococcus_agalactiae.1,#C43DB0
Streptococcus_agalactiae.2,#D77DCA
Streptococcus_agalactiae.3,#EBBEE4
Streptococcus_anginosus.1,#FFBAF8
Streptococcus_anginosus.2,#FFD1FA
Streptococcus_anginosus.3,#FFE8FC
Streptococcus_mitis.1,#C771BA
Streptococcus_mitis.2,#E3B8DC
Streptococcus_salivarius,#8c8c8c
Sutterella_spNov1,#8c8c8c
Trichomonas_vaginalis.1,#0077FF
Trichomonas_vaginalis.2,#1381FF
Trichomonas_vaginalis.3,#278BFF
Trichomonas_vaginalis.4,#3A96FF
Trichomonas_vaginalis.5,#4EA0FF
Trichomonas_vaginalis.6,#62ABFF
Trichomonas_vaginalis.7,#75B5FF
Trichomonas_vaginalis.8,#89C0FF
Trichomonas_vaginalis.9,#9CCAFF
Trichomonas_vaginalis.10,#B0D5FF
Trichomonas_vaginalis.11,#C4DFFF
Trichomonas_vaginalis.12,#D7EAFF
Trichomonas_vaginalis.13,#EBF4FF
UBA629_sp005465875.1,#448A73
UBA629_sp005465875.2,#69A18F
UBA629_sp005465875.3,#8EB8AB
UBA629_sp005465875.4,#B4D0C7
UBA629_sp005465875.5,#D9E7E3
Ureaplasma_parvum.1,#8c8c8c
Ureaplasma_parvum.2,#8c8c8c
Ureaplasma_parvum.3,#8c8c8c
Ureaplasma_parvum.4,#8c8c8c
Ureaplasma_parvum.5,#8c8c8c
Ureaplasma_parvum.6,#8c8c8c
Ureaplasma_parvum.7,#8c8c8c
Ureaplasma_urealyticum.1,#8c8c8c
Ureaplasma_urealyticum.2,#8c8c8c
Varibaculum_cambriense.1,#8c8c8c
Varibaculum_cambriense.2,#8c8c8c
Varibaculum_cambriense.3,#8c8c8c
Veillonella_montpellierensis.1,#8c8c8c
Veillonella_montpellierensis.2,#8c8c8c
Winkia_neuii,#8c8c8c
