,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Mobiluncus_curtisii.4,4,20,8920,8194,1803,3996,5485,9307,29086
Mobiluncus_mulieris.1,1,12,54107,50954,4410,17161,34389,95186,167338
Mobiluncus_mulieris.2,2,180,188800,637528,1967,8254,25702,95585,5942980
Mobiluncus_mulieris.3,3,71,270084,502641,2294,18852,86546,262082,2996126
MultiGenera,1,2525,198548,413910,66,11147,50761,207854,5823642
Nakaseomyces_glabratus.1,1,336,22,168,0,0,2,6,2992
Nakaseomyces_glabratus.2,2,150,2,1,1,1,2,2,6
Nakaseomyces_glabratus.3,3,89,2,2,0,1,2,2,15
Nakaseomyces_glabratus.4,4,44,0,0,0,0,0,0,0
Nakaseomyces_glabratus.5,5,35,1,2,0,0,0,1,8
Nakaseomyces_glabratus.6,6,32,7910,13023,230,812,2677,9758,70195
Nakaseomyces_glabratus.7,7,28,1,2,0,0,1,1,8
Nakaseomyces_glabratus.8,8,28,1,1,0,0,1,2,6
Nakaseomyces_glabratus.9,9,19,1,2,0,0,0,2,7
Nanoperiomorbus_sp004136275.1,1,156,119304,320615,997,12646,36866,123672,3284244
Nanoperiomorbus_sp004136275.2,2,91,12980,25320,707,1736,4364,10492,169456
Nanoperiomorbus_sp004136275.3,3,70,121401,233442,1010,13312,32234,106080,1264066
Nanoperiomorbus_sp004136275.4,4,48,88918,140830,1121,9954,21544,105251,632933
Nanoperiomorbus_sp004136275.5,5,26,138291,272446,1200,17553,36844,139683,1190214
Olegusella_massiliensis,1,35,11448,15496,1558,3397,5114,9898,71625
Oligella_urethralis,1,24,26291,28622,4038,8698,15306,24187,107142
Parvimonas_sp001552895.1,1,191,19966,38127,2019,5856,10679,21280,452541
Parvimonas_sp001552895.2,2,129,27423,32608,2041,6610,16719,30494,175357
Parvimonas_sp001552895.3,3,78,14601,23245,2588,5325,8221,14206,183076
Parvimonas_sp001552895.4,4,65,58527,64330,2255,18722,43285,72372,329035
Parvimonas_sp001552895.5,5,61,20371,30790,2535,6275,9617,25889,216980
Parvimonas_sp001552895.6,6,46,17143,18358,2599,5585,10052,19830,90260
Parvimonas_sp001552895.7,7,25,34212,29581,3554,11783,27923,46594,138941
Parvimonas_sp001552895.8,8,17,22115,26746,2375,7086,12494,24203,110352
Pauljensenia_turicensis.1,1,10,26103,26160,7870,11434,22319,25286,97078
Pauljensenia_turicensis.2,2,25,17031,35790,1981,2884,4504,9186,165120
Peptococcus_niger.1,1,17,28068,42260,2830,5216,11866,27943,176239
Peptococcus_niger.2,2,21,29430,57741,2466,3535,9081,19683,263315
Peptoniphilus_coxii.1,1,10,39343,86859,2483,4154,11548,21580,285280
Peptoniphilus_coxii.2,2,45,17649,40546,2136,3557,5994,14304,269886
Peptoniphilus_duerdenii,1,38,26173,47908,2934,6973,9290,20893,285887
Peptoniphilus_harei.1,1,97,21726,28008,4328,7443,12768,24118,233130
Peptoniphilus_harei.2,2,61,30113,55849,3221,5872,10509,25243,364835
Peptoniphilus_lacrimalis.1,1,151,22560,29097,3088,7042,11295,24738,184506
Peptoniphilus_lacrimalis.2,2,99,24514,58544,3153,5961,10793,25056,563980
Peptoniphilus_vaginalis.1,1,49,13278,15440,2452,5325,8048,13674,78732
Peptoniphilus_vaginalis.2,2,28,20532,14874,4521,10968,14031,29662,51431
Peptoniphilus_vaginalis.3,3,25,13739,15540,4308,6205,9690,12476,74322
Peptoniphilus_vaginalis.4,4,22,21029,23822,4888,8716,10820,21674,114293
Peptoniphilus_vaginalis.5,5,16,28980,26371,3836,10066,19945,37443,97169
Peptoniphilus_vaginalis.6,6,14,41792,61435,2322,4522,11990,60409,178376
Peptoniphilus_vaginalis.7,7,13,26838,30758,4762,8061,15024,17624,89625
Peptoniphilus_vaginalis.8,8,11,12977,8826,3709,7130,10355,14866,32686
Peptoniphilus_vaginalis.9,9,11,17922,17645,3674,6911,12724,22500,65827
Peptoniphilus_vaginalis.10,10,11,16278,11676,3311,6702,14168,22187,39065
Peptostreptococcus_anaerobius.1,1,11,24935,26835,2647,7905,16486,28524,88504
Peptostreptococcus_anaerobius.2,2,98,35097,67807,3803,6600,15023,29890,474968
Peptostreptococcus_anaerobius.3,3,61,21513,27893,2608,6421,12834,25491,146103
Peptostreptococcus_sp000758885,1,33,27497,59393,4294,7670,12892,19699,347205
Porphyromonas,1,2062,985,9945,0,1,10,76,319826
Porphyromonas_asaccharolytica.1,1,29,70538,149761,2334,8813,21285,74316,790237
Porphyromonas_asaccharolytica.2,2,35,47262,46856,6322,15377,29205,55711,173146
Porphyromonas_sp001552775.1,1,42,43922,69395,1684,4308,15515,43186,337199
Porphyromonas_sp001552775.2,2,30,37194,120355,1695,3925,7195,23532,666656
Porphyromonas_sp001552775.3,3,23,20034,36844,1531,3198,4700,12790,138705
Porphyromonas_sp001552775.4,4,16,5395,9876,1527,2254,2719,3474,42153
Porphyromonas_sp001808555,1,31,13969,19823,2166,4846,8050,14214,108194
Porphyromonas_uenonis.1,1,95,132832,189829,2482,22806,66859,146328,1150510
Porphyromonas_uenonis.2,2,50,15423,16625,2104,4030,6830,20645,65430
Porphyromonas_uenonis.3,3,48,14694,27137,2281,4329,7578,10797,164380
Porphyromonas_uenonis.4,4,33,14799,13371,3138,5819,9188,20274,65293
Porphyromonas_uenonis.5,5,31,10263,8105,2313,4750,7559,12643,37540
Porphyromonas_uenonis.6,6,12,10913,6495,2532,5417,10677,14811,20943
Prevotella,1,2492,10011,25166,0,31,367,8311,464466
Prevotella_amnii.1,1,106,107481,131984,4124,31706,61519,145796,1008171
Prevotella_amnii.2,2,86,196202,345839,3622,35839,93599,217828,2273358
Prevotella_amnii.3,3,63,17540,27602,2751,5163,8514,15556,183803
Prevotella_amnii.4,4,61,94961,161983,3396,17196,35547,91182,828719
Prevotella_amnii.5,5,57,188389,259822,4089,30578,91717,237349,1325089
Prevotella_amnii.6,6,51,114627,154469,4436,28063,60461,100886,662587
Prevotella_amnii.7,7,43,149207,172241,5708,37970,75299,185611,758488
Prevotella_amnii.8,8,38,86066,79615,6677,27699,55091,131678,292328
Prevotella_amnii.9,9,38,210859,387646,4226,40387,125296,209520,2274228
Prevotella_amnii.10,10,33,76190,101990,5438,21523,39452,87267,544705
Prevotella_amnii.11,11,27,100190,111644,4501,19959,71106,109694,497963
Prevotella_amnii.12,12,15,64016,59627,17282,38344,50268,67484,265659
