sampleID,Project
MG_1060901239,VMRC
MG_1060901269,Gates-Stanford
MG_1060901339,VMRC
MG_1061301149,Gates-Stanford
MG_1061301189,Gates-Stanford
MG_1061301229,Gates-Stanford
MG_1061301269,Gates-Stanford
MG_1061301329,Gates-Stanford
MG_1062101149,Gates-Stanford
MG_1062101189,Gates-Stanford
MG_1062101239,Gates-Stanford
MG_1062101299,Gates-Stanford
MG_1062101359,Gates-Stanford
MG_1062201159,Gates-Stanford
MG_1062201199,Gates-Stanford
MG_1062201239,Gates-Stanford
MG_1062201329,Gates-Stanford
MG_1062201379,Gates-Stanford
MG_1062501159,Gates-Stanford
MG_1062501199,Gates-Stanford
MG_1062501239,Gates-Stanford
MG_1062501279,Gates-Stanford
MG_1062501369,Gates-Stanford
MG_1063001159,Gates-Stanford
MG_1063001239,Gates-Stanford
MG_1063001279,Gates-Stanford
MG_1063001329,Gates-Stanford
MG_1063001369,Gates-Stanford
MG_1063101119,Gates-Stanford
MG_1063101199,Gates-Stanford
MG_1063101279,VMRC
MG_1063101369,Gates-Stanford
MG_1063201159,Gates-Stanford
MG_1063201209,Gates-Stanford
MG_1063201249,Gates-Stanford
MG_1063201329,Gates-Stanford
MG_1063201369,Gates-Stanford
MG_1063601119,Gates-Stanford
MG_1063601179,Gates-Stanford
MG_1063601319,Gates-Stanford
MG_1063601359,Gates-Stanford
MG_1085RFLQV1,XPENN
MG_1086RFLQV1,XPENN
MG_1116RFLQV1,XPENN
MG_112477,Gates-UMD
MG_112541,Gates-UMD
MG_112597,Gates-UMD
MG_112797,Gates-UMD
MG_112861,Gates-UMD
MG_112917,Gates-UMD
MG_113289,Gates-UMD
MG_113357,Gates-UMD
MG_113597,Gates-UMD
MG_113633,Gates-UMD
MG_113717,Gates-UMD
MG_113757,Gates-UMD
MG_113853,Gates-UMD
MG_114069,Gates-UMD
MG_114141,Gates-UMD
MG_114193,Gates-UMD
MG_114717,Gates-UMD
MG_114765,Gates-UMD
MG_114845,Gates-UMD
MG_1167RFLQV1,XPENN
MG_1213RFLQV1,XPENN
MG_1215RFLQV1,XPENN
MG_1238RPAPV1A1,XPENN
MG_1269RFLQV1,XPENN
MG_1286RFLQV1,XPENN
MG_1319RFLQV1,XPENN
MG_1327RFLQV1,XPENN
MG_1333RFLQV1,XPENN
MG_1368RFLQV1,XPENN
MG_1386RFLQV1,XPENN
MG_1392RFLQV1,XPENN
MG_1416RFLQV1,XPENN
MG_1425RFLQV1,XPENN
MG_1429RFLQV1,XPENN
MG_1430RFLQV1,XPENN
MG_1431RFLQV1,XPENN
MG_1469RFLQV1,XPENN
MG_1494RFLQV1,XPENN
MG_1540RFLQV1,XPENN
MG_1546RFLQV1,XPENN
MG_1567RFLQV1,XPENN
MG_1578RFLQV1,XPENN
MG_1588RFLQV1,XPENN
MG_1601RFLQV1,XPENN
MG_1618RFLQV1,XPENN
MG_1665RFLQV1,XPENN
MG_1696RFLQV1,XPENN
MG_1713RFLQV1,XPENN
MG_1721RFLQV1,XPENN
MG_1727RFLQV1,XPENN
MG_174564,Gates-UMD
MG_174566,Symptoms
MG_174616,Gates-UMD
MG_174631b,Symptoms
MG_174708,Gates-UMD
MG_174722,Symptoms
MG_174738,Symptoms
MG_174758,Symptoms
MG_174947,Symptoms
MG_174962,Symptoms
MG_174970,Symptoms
