dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST,color_mgCST
39,0.2599328016356856,MultiGenera,11,4,43,#8c8c8c
49,0.4677345474482497,Lactobacillus_paragasseri_1,11,4,44,#0D4018
48,0.4628248346854243,Lactobacillus_paragasseri_2,11,4,45,#869F8B
26,0.392122802974128,Limosilactobacillus_oris,11,4,46,#8c8c8c
45,0.580188131808472,Lactobacillus_mulieris_1,11,4,47,#A16060
28,0.2247344398924468,Cutibacterium_acnes_1,11,4,48,#4C693A
47,0.394579544898374,Trichomonas_vaginalis_11,11,4,49,#C4DFFF
9,0.8405851111556855,Lactobacillus_crispatus_1,12,0,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,12,0,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,12,0,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,12,0,4,#FF4C4C
13,0.8724524352608115,Lactobacillus_crispatus_6,12,0,5,#FF7F7F
2,0.5600729067841665,Lactobacillus_crispatus_7,12,0,6,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,12,0,7,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,12,0,8,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,12,0,9,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,12,0,10,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,12,0,11,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,12,0,12,#FFDEB6
6,0.3940245173025669,UBA629_sp005465875_1,12,0,13,#448A73
3,0.3152232455763519,Gardnerella_vaginalis_2,12,0,14,#C7C5E0
1,0.2422917250729616,MultiGenera,12,0,15,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,12,1,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,12,1,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,12,1,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,12,1,4,#FF4C4C
17,0.8320116122909413,Lactobacillus_crispatus_5,12,1,5,#FF6666
13,0.8724524352608115,Lactobacillus_crispatus_6,12,1,6,#FF7F7F
16,0.7762565985533046,Lactobacillus_crispatus_7,12,1,7,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,12,1,8,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,12,1,9,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,12,1,10,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,12,1,11,#FFBD6D
